dataset_key,dataset_name,target_player,direction,k,trial,exposure_index,model_a,model_b,both_active,influence_decision,rigging_decision,same_decision,influence_rows_added,rigging_rows_added,influence_success_after_step,rigging_success_after_step,influence_rank_after_step,rigging_rank_after_step,initial_rank
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,28,Alexander Zverev,Novak Djokovic,True,model_a,model_a,True,1,1,False,False,4,6,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,29,Jannik Sinner,Stefanos Tsitsipas,True,model_b,model_b,True,1,1,False,False,4,6,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,30,Novak Djokovic,Hubert Hurkacz,True,model_a,model_a,True,1,1,False,False,4,6,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,31,Alexander Zverev,Andrey Rublev,True,model_a,model_a,True,1,1,False,False,4,6,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,32,Stefanos Tsitsipas,Holger Rune,True,model_a,model_a,True,1,1,False,False,4,6,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,33,Daniil Medvedev,Stefanos Tsitsipas,True,model_b,model_b,True,1,1,False,False,4,6,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,34,Andrey Rublev,Holger Rune,True,model_b,model_a,False,1,1,False,False,4,5,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,35,Jannik Sinner,Holger Rune,True,model_b,model_b,True,1,1,False,False,5,6,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,36,Jannik Sinner,Andrey Rublev,True,model_b,model_b,True,1,1,False,True,6,7,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,0,37,Holger Rune,Jannik Sinner,False,model_a,already_done,False,1,0,True,True,7,7,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,1,Hubert Hurkacz,Holger Rune,True,model_b,model_b,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,2,Stefanos Tsitsipas,Holger Rune,True,model_b,model_b,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,3,Daniil Medvedev,Jannik Sinner,True,model_a,model_a,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,4,Taylor Fritz,Jannik Sinner,True,model_a,model_a,True,1,1,False,False,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Jannik Sinner,demote,6,1,5,Hubert Hurkacz,Novak Djokovic,True,model_b,model_b,True,1,1,False,False,4,4,4
